"study_route","gender","age_group","education_level","transport_service_type","service_type_other_specify","driving_experience_years","operation_area","work_time","daily_trips","belongs_to_union","union_name","union_other_specify","road_condition","congestion_frequency","congestion_causes","cause_poor_roads","cause_indiscipline","cause_street_trading","cause_poor_traffic_control","cause_lack_parking","terminal_availability","encounters_challenges_authorities","challenges_details","regulation_effectiveness","relationship_with_agencies","fair_law_enforcement","income_effect_congestion","improvement_suggestions","suggest_new_roads","suggest_traffic_mgmt","suggest_parking","suggest_law_enforcement","suggest_reduce_hawking","suggest_other"
"Ejisu-Kejetia Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","4–6",TRUE,"Co-operative",NA,"Good","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","c. More parking/loading spaces d. Enforcement of traffic laws",0,0,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","No formal education","Trotro (Minibus)",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",TRUE,"Co-operative",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"No effect","c. More parking/loading spaces d. Enforcement of traffic laws",0,0,1,1,0,0
"Ejisu-Kejetia Road","Male","46–55","Basic","Trotro (Minibus)",NA,"6–10 years","CBD","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Always","b. Indiscipline by drivers c. Street trading and hawking e. Lack of parking space",0,1,1,0,1,"Fair",FALSE,NA,"Ineffective","Tense",TRUE,"Decreased greatly","c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,0,1,1,1,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"2–5 years","Inter-town routes","Throughout the day","7–9",FALSE,NA,NA,"Fair","Often","c. Street trading and hawking d. Poor traffic control e. Lack of parking space",0,0,1,1,1,"Not available",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased greatly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Secondary","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Always","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Not available",TRUE,"They don’t treat us like trotro or taxi drivers","Neutral","Very tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Trotro (Minibus)",NA,"2–5 years","CBD","Evening","4–6",TRUE,"PROTOA",NA,"Poor","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Inadequate",TRUE,"Always asking for documents","Neutral","Neutral",FALSE,"Decreased slightly","c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,0,1,1,1,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"2–5 years","CBD","Morning","10 or more",TRUE,"GPRTU",NA,"Poor","Often","a. Poor road network b. Indiscipline by drivers",1,1,0,0,0,"Inadequate",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Evening","4–6",TRUE,"PROTOA",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Ejisu-Kejetia Road","Male","18–25","No formal education","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Adequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","a. Construction of new roads d. Enforcement of traffic laws e. Reduction of street hawking",1,0,0,1,1,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Pragya/Okada",NA,"Less than 2 years","Inter-town routes","Throughout the day","10 or more",FALSE,NA,NA,"Very poor","Sometimes","a. Poor road network b. Indiscipline by drivers e. Lack of parking space",1,1,0,0,1,"Not available",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased greatly","a. Construction of new roads c. More parking/loading spaces d. Enforcement of traffic laws",1,0,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","Suburbs","Throughout the day","7–9",FALSE,NA,NA,"Good","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Not available",FALSE,NA,"Ineffective","Neutral",NA,"No effect","a. Construction of new roads b. Better traffic management c. More parking/loading spaces",1,1,1,0,0,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Pragya/Okada",NA,"Less than 2 years","All areas","Morning","4–6",TRUE,"Co-operative",NA,"Poor","Rarely","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Not available",TRUE,"It’s so sad they treat as poorly as compared to taxi drivers","Ineffective","Tense",FALSE,"Decreased slightly","a. Construction of new roads c. More parking/loading spaces",1,0,1,0,0,0
"Ejisu-Kejetia Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","CBD","Afternoon","4–6",TRUE,"PROTOA",NA,"Fair","Sometimes","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Not available",TRUE,"They like taking bribes","Ineffective","Tense",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management",1,1,0,0,0,0
"Kejetia-Santasi Road","Male","36–45","No formal education","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",TRUE,"The stop me for improper parking etc","Effective","Neutral",TRUE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","Secondary","Taxi",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",TRUE,"Co-operative",NA,"Poor","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Inadequate",FALSE,NA,"Ineffective","Tense",NA,"Decreased slightly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"2–5 years","Suburbs","Evening","4–6",TRUE,"PROTOA",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking",0,1,1,0,0,"Inadequate",FALSE,NA,"Very ineffective","Tense",NA,"Decreased greatly","c. More parking/loading spaces d. Enforcement of traffic laws",0,0,1,1,0,0
"Kejetia-Santasi Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Poor","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",1,1,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Sometimes","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",TRUE,"The often stop pragya drivers fro reasons best known to them","Effective","Tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"2–5 years","CBD","Throughout the day","7–9",TRUE,"PROTOA",NA,"Good","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Effective","Very tense",NA,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Often","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Afternoon","4–6",TRUE,"GPRTU",NA,"Poor","Often","a. Poor road network d. Poor traffic control e. Lack of parking space",1,0,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","4–6",FALSE,NA,NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",TRUE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Sometimes","a. Poor road network",1,0,0,0,0,"Not available",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Often","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"2–5 years","CBD","Throughout the day","10 or more",FALSE,NA,NA,"Poor","Often","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","46–55","No formal education","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Fair","Often","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Effective","Neutral",TRUE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","18–25","Secondary","Pragya/Okada",NA,"Less than 2 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Neutral","Cordial",TRUE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","4–6",TRUE,"PROTOA",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Neutral","Cordial",TRUE,"Decreased greatly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Ejisu-Kejetia Road","Male","46–55","Secondary","Trotro (Minibus)",NA,"Over 10 years","CBD","Evening","4–6",TRUE,"PROTOA",NA,"Poor","Sometimes","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",0,1,1,1,1,0
"Ejisu-Kejetia Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Inter-town routes","Throughout the day","7–9",TRUE,"Co-operative",NA,"Poor","Rarely","a. Poor road network b. Indiscipline by drivers",1,1,0,0,0,"Not available",FALSE,NA,"Neutral","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Ejisu-Kejetia Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Morning","4–6",TRUE,"GPRTU",NA,"Good","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Adequate",TRUE,"Always asking for documents","Neutral","Neutral",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Ejisu-Kejetia Road","Male","46–55","Secondary","Taxi",NA,"Over 10 years","All areas","Throughout the day","4–6",TRUE,"Co-operative",NA,"Poor","Sometimes","a. Poor road network b. Indiscipline by drivers e. Lack of parking space",1,1,0,0,1,"Inadequate",FALSE,NA,"Ineffective","Tense",NA,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Tertiary","Taxi",NA,"Less than 2 years","Suburbs","Throughout the day","4–6",TRUE,"Co-operative",NA,"Poor","Sometimes","b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",0,1,0,1,1,"Inadequate",TRUE,"They sometimes want to check license","Ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","No formal education","Pragya/Okada",NA,"Less than 2 years","Suburbs","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Tense",TRUE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","Suburbs","Throughout the day","4–6",FALSE,NA,NA,"Poor","Sometimes","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Very ineffective","Very tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Taxi",NA,"6–10 years","CBD","Throughout the day","10 or more",TRUE,"GPRTU",NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control e. Lack of parking space",1,1,1,1,1,"Inadequate",FALSE,NA,"Neutral","Cordial",FALSE,"Decreased greatly","b. Better traffic management d. Enforcement of traffic laws",0,1,0,1,0,0
"Ejisu-Kejetia Road","Male","46–55","Secondary","Pragya/Okada",NA,"2–5 years","All areas","Evening","4–6",TRUE,"Co-operative",NA,"Poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Very tense",NA,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","Secondary","Taxi",NA,"2–5 years","Suburbs","Throughout the day","4–6",TRUE,"Co-operative",NA,"Poor","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Not available",FALSE,NA,"Neutral","Tense",FALSE,"Decreased slightly","b. Better traffic management d. Enforcement of traffic laws e. Reduction of street hawking",0,1,0,1,1,0
"Kejetia-Santasi Road","Male","18–25","Basic","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","10 or more",FALSE,NA,NA,"Fair","Often","a. Poor road network b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",1,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","46–55","Basic","Trotro (Minibus)",NA,"Over 10 years","Suburbs","Evening","4–6",TRUE,"PROTOA",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Taxi",NA,"2–5 years","CBD","Throughout the day","7–9",FALSE,NA,NA,"Poor","Always","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Inadequate",FALSE,NA,"Neutral","Cordial",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Secondary","Taxi",NA,"6–10 years","Suburbs","Throughout the day","7–9",TRUE,"PROTOA",NA,"Fair","Rarely","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Not available",FALSE,NA,"Neutral","Tense",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Kejetia-Santasi Road","Male","26–35","Secondary","Trotro (Minibus)",NA,"2–5 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Always","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",FALSE,NA,"Ineffective","Tense",FALSE,"Decreased greatly","b. Better traffic management",0,1,0,0,0,0
"Ejisu-Kejetia Road","Male","36–45","No formal education","Pragya/Okada",NA,"2–5 years","All areas","Throughout the day","7–9",FALSE,NA,NA,"Fair","Never","b. Indiscipline by drivers d. Poor traffic control",0,1,0,1,0,"Not available",FALSE,NA,"Ineffective","Neutral",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Pragya/Okada",NA,"2–5 years","Suburbs","Throughout the day","4–6",FALSE,NA,NA,"Poor","Rarely","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Tense",TRUE,"Increased","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","18–25","No formal education","Pragya/Okada",NA,"Less than 2 years","Inter-town routes","Evening","10 or more",FALSE,NA,NA,"Poor","Rarely","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Fair",FALSE,NA,"Very ineffective","Very cordial",TRUE,"Increased","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",1,1,1,1,0,0
"Ejisu-Kejetia Road","Male","36–45","Basic","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Afternoon","4–6",FALSE,NA,NA,"Good","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control",1,1,0,1,0,"Fair",FALSE,NA,"Effective","Cordial",TRUE,"No effect","a. Construction of new roads b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws e. Reduction of street hawking",1,1,1,1,1,0
"Ejisu-Kejetia Road","Male","18–25","Basic","Taxi",NA,"2–5 years","Inter-town routes","Throughout the day","4–6",TRUE,"Co-operative",NA,"Poor","Sometimes","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Fair",FALSE,NA,"Effective","Cordial",FALSE,"Decreased slightly","a. Construction of new roads b. Better traffic management c. More parking/loading spaces",1,1,1,0,0,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Taxi",NA,"2–5 years","Suburbs","Afternoon","4–6",FALSE,NA,NA,"Poor","Rarely","c. Street trading and hawking d. Poor traffic control",0,0,1,1,0,"Inadequate",FALSE,NA,"Ineffective","Cordial",FALSE,"Decreased slightly","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
"Kejetia-Santasi Road","Male","36–45","Secondary","Trotro (Minibus)",NA,"6–10 years","Inter-town routes","Throughout the day","7–9",TRUE,"GPRTU",NA,"Poor","Often","a. Poor road network b. Indiscipline by drivers d. Poor traffic control e. Lack of parking space",1,1,0,1,1,"Inadequate",TRUE,"Inconsistent and unclear enforcement of the law","Neutral","Tense",FALSE,"Decreased greatly","b. Better traffic management c. More parking/loading spaces d. Enforcement of traffic laws",0,1,1,1,0,0
"Ejisu-Kejetia Road","Male","26–35","Basic","Trotro (Minibus)",NA,"Less than 2 years","CBD","Morning","4–6",TRUE,"Co-operative",NA,"Fair","Always","b. Indiscipline by drivers c. Street trading and hawking d. Poor traffic control",0,1,1,1,0,"Inadequate",FALSE,NA,"Neutral","Cordial",TRUE,"No effect","b. Better traffic management c. More parking/loading spaces",0,1,1,0,0,0
